@ 圖示
對話 F (小寫)
對話 F (大寫)
對話 G (小寫)
對話 G (大寫)
對話 H (小寫)
對話 H (大寫)
對話 ❤
對話 I (小寫)
對話 I (大寫)
對話 J (小寫)
對話 J (大寫)
對話 K (小寫)
對話 K (大寫)
對話 L (小寫)
對話 L (大寫)
對話 M (小寫)
對話 M (大寫)
對話 －
對話 N (小寫)
對話 N (大寫)
對話 🎵
對話 O (小寫)
對話 O (大寫)
對話 #
對話 P (小寫)
對話 P (大寫)
對話 ％ 標誌
對話 。
對話 ＋
對話 Q (小寫)
對話 Q (大寫)
對話 ？
對話 ＂
對話 R (小寫)
對話 R (大寫)
對話 ｝
對話 （
對話 S (小寫)
對話 S (大寫)
對話 ／
對話 ］
對話 ［
對話 T (小寫)
對話 T (大寫)
對話 定時器
對話 U (小寫)
對話 U (大寫)
對話 ＿
對話 V (小寫)
對話 V (大寫)
對話 W (小寫)
對話 W (大寫)
對話 X (小寫)
對話 X (大寫)
對話 Y (小寫)
對話 Y (大寫)
對話 Z (小寫)
對話 Z (大寫)
✓
櫻花木 0
櫻花木 1
櫻花木 10
櫻花木 100
櫻花木 11
櫻花木 12
櫻花木 13
櫻花木 14
櫻花木 15
櫻花木 16
櫻花木 17
櫻花木 18
櫻花木 19
櫻花木 2
櫻花木 20
櫻花木 21
櫻花木 22
櫻花木 23
櫻花木 24
櫻花木 25
櫻花木 26
櫻花木 27
櫻花木 28
櫻花木 29
櫻花木 3
櫻花木 30
櫻花木 31
櫻花木 4
櫻花木 5
櫻花木 6
櫻花木 7
櫻花木 8
櫻花木 9
櫻花木 @
櫻花木 A
櫻花木 &
櫻花木 、
櫻花木 水瓶座
櫻花木 牡羊座
櫻花木 箭頭倒退
櫻花木 箭頭倒退 II
櫻花木 箭頭向下
櫻花木 箭頭向前
櫻花木 箭頭向前 II
櫻花木 箭頭向左
櫻花木 箭頭向左下
櫻花木 箭頭向左上
櫻花木 箭頭向右
櫻花木 箭頭向右下
櫻花木 箭頭向右上
櫻花木 箭頭向上
櫻花木 B
櫻花木 ＼
櫻花木 C
櫻花木 巨蟹座
櫻花木 魔羯座
櫻花木 ✓
櫻花木 ：
櫻花木 ，
櫻花木 ｝
櫻花木 ｛
櫻花木 D
櫻花木 角度
櫻花木 ＄
櫻花木 E
櫻花木 刪節號
櫻花木 ＝
櫻花木 €
櫻花木 ！
櫻花木 F
櫻花木 ♀️
櫻花木 字體底座
櫻花木 G
櫻花木 雙子座
櫻花木 H
櫻花木 ❤
櫻花木 I
櫻花木 J
櫻花木 K
櫻花木 L
櫻花木 獅子座
櫻花木 天秤座
櫻花木 M
櫻花木 ♂
櫻花木 －
櫻花木 N
櫻花木 🎵
櫻花木 O
櫻花木 #
櫻花木 P
櫻花木 ％ 標誌
櫻花木 。
櫻花木 雙魚座
櫻花木 ＋
櫻花木 £
櫻花木 Q
櫻花木 ？
櫻花木 ＂
櫻花木 R
櫻花木 刷新
櫻花木 向後 ！
櫻花木 向後 ？
櫻花木 ｝
櫻花木 （
櫻花木 S
櫻花木 射手座
櫻花木 天蠍座
櫻花木 ；
櫻花木 設定
櫻花木 ／
櫻花木 ］
櫻花木 ［
櫻花木 標準銀河字母 A
櫻花木 標準銀河字母 B
櫻花木 標準銀河字母 C
櫻花木 標準銀河字母 D
櫻花木 標準銀河字母 E
櫻花木 標準銀河字母 F
櫻花木 標準銀河字母 G
櫻花木 標準銀河字母 H
櫻花木 標準銀河字母 I
櫻花木 標準銀河字母 J
櫻花木 標準銀河字母 K
櫻花木 標準銀河字母 L
櫻花木 標準銀河字母 M
櫻花木 標準銀河字母 N
櫻花木 標準銀河字母 O
櫻花木 標準銀河字母 P
櫻花木 標準銀河字母 Q
櫻花木 標準銀河字母 R
櫻花木 標準銀河字母 S
櫻花木 標準銀河字母 T
櫻花木 標準銀河字母 U
櫻花木 標準銀河字母 V
櫻花木 標準銀河字母 W
櫻花木 標準銀河字母 X
櫻花木 標準銀河字母 Y
櫻花木 標準銀河字母 Z
櫻花木 T
櫻花木 金牛座
櫻花木 終端圖示
櫻花木 定時器
櫻花木 U
櫻花木 ＿
櫻花木 V
櫻花木 處女座
櫻花木 W
櫻花木 X
櫻花木 Y
櫻花木 ¥
櫻花木 Z
櫻花木 Á
櫻花木 Ä
櫻花木 Ç
櫻花木 É
櫻花木 Í
櫻花木 Ñ
櫻花木 Ó
櫻花木 Ö
櫻花木 Ú
櫻花木 Ü
櫻花木 Ω (Omega)
櫻花木 α (Alpha)
櫻花木 λ (Lambda)
櫻花木 π (Pi)
櫻花木 Ё
櫻花木 Б
櫻花木 Г
櫻花木 Д
櫻花木 Ж
櫻花木 З
櫻花木 И
櫻花木 Й
櫻花木 Л
櫻花木 П
櫻花木 У
櫻花木 Ф
櫻花木 Ц
櫻花木 Ч
櫻花木 Ш
櫻花木 Щ
櫻花木 Ъ
櫻花木 Ы
櫻花木 Ь
櫻花木 Э
櫻花木 Ю
櫻花木 Я
櫻花木 ∑ (Sigma)
降臨節日曆 #26 (藍)
降臨節日曆 #26 (綠)
降臨節日曆 #26 (紅)
降臨節日曆 #27 (藍)
降臨節日曆 #27 (綠)
降臨節日曆 #27 (紅)
降臨節日曆 #28 (藍)
降臨節日曆 #28 (綠)
降臨節日曆 #28 (紅)
降臨節日曆 #29 (藍)
降臨節日曆 #29 (綠)
降臨節日曆 #29 (紅)
降臨節日曆 #30 (藍)
降臨節日曆 #30 (綠)
降臨節日曆 #30 (紅)
降臨節日曆 #31 (藍)
降臨節日曆 #31 (綠)
降臨節日曆 #31 (紅)
鵝卵石 0
鵝卵石 1
鵝卵石 10
鵝卵石 11
鵝卵石 12
鵝卵石 13
鵝卵石 14
鵝卵石 15
鵝卵石 16
鵝卵石 17
鵝卵石 18
鵝卵石 19
鵝卵石 2
鵝卵石 20
鵝卵石 21
鵝卵石 22
鵝卵石 23
鵝卵石 24
鵝卵石 25
鵝卵石 3
鵝卵石 4
鵝卵石 5
鵝卵石 6
鵝卵石 7
鵝卵石 8
鵝卵石 9
鵝卵石 A
鵝卵石 &
鵝卵石 、
鵝卵石 水瓶座
鵝卵石 牡羊座
鵝卵石 箭頭向下
鵝卵石 箭頭向左
鵝卵石 箭頭向左下
鵝卵石 箭頭向左上
鵝卵石 箭頭向右
鵝卵石 箭頭向右下
鵝卵石 箭頭向右上
鵝卵石 箭頭向上
鵝卵石 B
鵝卵石 ＼
鵝卵石 倒退
鵝卵石 倒退 II
鵝卵石 C
鵝卵石 巨蟹座
鵝卵石 摩羯座
鵝卵石 ✓
鵝卵石 ：
鵝卵石 ，
鵝卵石 ｝
鵝卵石 ｛
鵝卵石 D
鵝卵石 ＄
鵝卵石 E
鵝卵石 ＝
鵝卵石 ！
鵝卵石 F
鵝卵石 ♀️
鵝卵石 向前
鵝卵石 向前 II
鵝卵石 G
鵝卵石 雙子座
鵝卵石 H
鵝卵石 ❤
鵝卵石 I
鵝卵石 J
鵝卵石 K
鵝卵石 L
鵝卵石 獅子座
鵝卵石 天秤座
鵝卵石 M
鵝卵石 ♂
鵝卵石 －
鵝卵石 N
鵝卵石 🎵
鵝卵石 O
鵝卵石 #
鵝卵石 P
鵝卵石 ％
鵝卵石 。
鵝卵石 雙魚座
鵝卵石 ＋
鵝卵石 Q
鵝卵石 ？
鵝卵石 ＂
鵝卵石 R
鵝卵石 向後 ！
鵝卵石 向後 ？
鵝卵石 ｝
鵝卵石 （
鵝卵石 S
鵝卵石 射手座
鵝卵石 天蠍座
鵝卵石 ；
鵝卵石 ／
鵝卵石 ］
鵝卵石 ［
鵝卵石 T
鵝卵石 金牛座
鵝卵石 U
鵝卵石 ＿
鵝卵石 V
鵝卵石 處女座
鵝卵石 W
鵝卵石 X
鵝卵石 Y
鵝卵石 Z
鵝卵石 Ä
鵝卵石 Ñ
鵝卵石 Ö
鵝卵石 Ü
鵝卵石 Ё
鵝卵石 Б
鵝卵石 Г
鵝卵石 Д
鵝卵石 Ж
鵝卵石 З
鵝卵石 И
鵝卵石 Й
鵝卵石 Л
鵝卵石 П
鵝卵石 У
鵝卵石 Ф
鵝卵石 Ц
鵝卵石 Ч
鵝卵石 Ш
鵝卵石 Щ
鵝卵石 Ъ
鵝卵石 Ы
鵝卵石 Ь
鵝卵石 Э
鵝卵石 Ю
鵝卵石 Я
普通幸運方塊
銅 箭頭向上
青 0
青 1
青 10
青 11
青 12
青 13
青 14
青 15
青 16
青 17
青 18
青 19
青 2
青 20
青 21
青 22
青 23
青 24
青 25
青 3
青 4
青 5
青 6
青 7
青 8
青 9
青 A
青 A 方塊
青 &
青 、
青 水瓶座
青 牡羊座
青 箭頭向下
青 箭頭向左
青 箭頭向左下
青 箭頭向左上
青 箭頭向右
青 箭頭向右下
青 箭頭向右上
青 箭頭向上
青 B
青 ＼
青 倒退
青 倒退 II
青 空白
青 C
青 巨蟹座
青 摩羯座
青 ✓
青 ：
青 ，
青 ｝
青 ｛
青 D
青 ＄
青 E
青 ＝
青 ！
青 F
青 ♀️
青 向前
青 向前 II
青 G
青 雙子座
青 H
青 ❤
青 I
青 J
青 K
青 L
青 獅子座
青 天秤座
青 M
青 ♂
青 －
青 N
青 🎵
青 O
青 #
青 P
青 暫停
青 ％
青 。
青 雙魚座
青 ＋
青 Q
青 ？
青 ＂
青 R
青 刷新
青 向後 ！
青 向後 ？
青 ｝
青 （
青 S
青 射手座
青 天蠍座
青 ；
青 ／
青 ］
青 ［
青 T
青 金牛座
青 U
青 ＿
青 V
青 處女座
青 W
青 X
青 Y
青 Z
青 Ä
青 Ñ
青 Ö
青 Ü
青 Ё
青 Б
青 Г
青 Д
青 Ж
青 З
青 И
青 Й
青 Л
青 П
青 У
青 Ф
青 Ц
青 Ч
青 Ш
青 Щ
青 Ъ
青 Ы
青 Ь
青 Э
青 Ю
青 Я
黑暗 能源
漆黑 符文
鑽石 0
鑽石 1
鑽石 10
鑽石 11
鑽石 12
鑽石 13
鑽石 14
鑽石 15
鑽石 16
鑽石 17
鑽石 18
鑽石 19
鑽石 2
鑽石 20
鑽石 21
鑽石 22
鑽石 23
鑽石 24
鑽石 25
鑽石 3
鑽石 4
鑽石 5
鑽石 6
鑽石 7
鑽石 8
鑽石 9
鑽石 A
鑽石 &
鑽石 、
鑽石 水瓶座
鑽石 牡羊座
鑽石 箭頭向下
鑽石 箭頭向左
鑽石 箭頭向左下
鑽石 箭頭向左上
鑽石 箭頭向右
鑽石 箭頭向右下
鑽石 箭頭向右上
鑽石 箭頭向上
鑽石 B
鑽石 ＼
鑽石 倒退
鑽石 倒退 II
鑽石 空白
鑽石 C
鑽石 巨蟹座
鑽石 摩羯座
鑽石 ✓
鑽石 ：
鑽石 ，
鑽石 ｝
鑽石 ｛
鑽石 D
鑽石 ＄
鑽石 E
鑽石 ＝
鑽石 ！
鑽石 F
鑽石 ♀️
鑽石 向前
鑽石 向前 II
鑽石 G
鑽石 雙子座
鑽石 H
鑽石 ❤
鑽石 I
鑽石 J
鑽石 K
鑽石 L
鑽石 獅子座
鑽石 天秤座
鑽石 M
鑽石 ♂
鑽石 －
鑽石 N
鑽石 🎵
鑽石 O
鑽石 #
鑽石 P
鑽石 ％ 標誌
鑽石 。
鑽石 雙魚座
鑽石 ＋
鑽石 Q
鑽石 ？
鑽石 ＂
鑽石 R
鑽石 向後 ！
鑽石 向後 ？
鑽石 ｝
鑽石 （
鑽石 S
鑽石 射手座
鑽石 天蠍座
鑽石 ；
鑽石 ／
鑽石 ］
鑽石 ［
鑽石 T
鑽石 金牛座
鑽石 定時器
鑽石 U
鑽石 ＿
鑽石 V
鑽石 處女座
鑽石 W
鑽石 X
鑽石 Y
鑽石 Z
鑽石 Ä
鑽石 Ñ
鑽石 Ö
鑽石 Ü
鑽石 Ё
鑽石 Б
鑽石 Г
鑽石 Д
鑽石 Ж
鑽石 З
鑽石 И
鑽石 Й
鑽石 Л
鑽石 П
鑽石 У
鑽石 Ф
鑽石 Ц
鑽石 Ч
鑽石 Ш
鑽石 Щ
鑽石 Ъ
鑽石 Ы
鑽石 Ь
鑽石 Э
鑽石 Ю
鑽石 Я
泥土 !
泥土 #
泥土 %
泥土 '
泥土 ''
泥土 (
泥土 )
泥土 +
泥土 ,
泥土 -
泥土 0
泥土 1
泥土 10
泥土 11
泥土 12
泥土 13
泥土 14
泥土 15
泥土 16
泥土 17
泥土 18
泥土 19
泥土 2
泥土 20
泥土 21
泥土 22
泥土 23
泥土 24
泥土 25
泥土 3
泥土 4
泥土 5
泥土 6
泥土 7
泥土 8
泥土 9
泥土 ;
泥土 =
泥土 A
泥土 &
泥土 、
泥土 水瓶座
泥土 牡羊座
泥土 箭頭向下
泥土 箭頭向左
泥土 箭頭向左下
泥土 箭頭向左上
泥土 箭頭向右
泥土 箭頭向右下
泥土 箭頭向右上
泥土 箭頭向上
泥土 B
泥土 ＼
泥土 倒退
泥土 倒退 II
泥土 空白
泥土 C
泥土 ：
泥土 巨蟹座
泥土 摩羯座
泥土 ✓
泥土 ：
泥土 ，
泥土 ｝
泥土 ｛
泥土 D
泥土 ＄
泥土 向下
泥土 E
泥土 ＝
泥土 ！
泥土 F
泥土 ♀️
泥土 向前
泥土 向前 II
泥土 G
泥土 雙子座
泥土 H
泥土 ❤
泥土 I
泥土 J
泥土 K
泥土 L
泥土 向左
泥土 獅子座
泥土 天秤座
泥土 M
泥土 ♂
泥土 －
泥土 N
泥土 🎵
泥土 O
泥土 #
泥土 P
泥土 ％
泥土 。
泥土 雙魚座
泥土 ＋
泥土 Q
泥土 ？
泥土 ＂
泥土 R
泥土 向後 ！
泥土 向後 ？
泥土 向右
泥土 ｝
泥土 （
泥土 S
泥土 SLASH
泥土 射手座
泥土 天蠍座
泥土 ；
泥土 ／
泥土 ］
泥土 ［
泥土 T
泥土 金牛座
泥土 U
泥土 ＿
泥土 向上
泥土 V
泥土 處女座
泥土 W
泥土 X
泥土 Y
泥土 Z
泥土 [
泥土 ]
泥土 _
泥土 a
泥土 b
泥土 向後
泥土 向後 2
泥土 c
泥土 d
泥土 e
泥土 f
泥土 向前
泥土 向前 2
泥土 g
泥土 h
泥土 i
泥土 j
泥土 k
泥土 l
泥土 左下
泥土 左上
泥土 m
泥土 n
泥土 o
泥土 p
泥土 q
泥土 r
泥土 右下
泥土 右上
泥土 s
泥土 t
泥土 u
泥土 v
泥土 w
泥土 x
泥土 y
泥土 z
泥土 Ä
泥土 Ñ
泥土 Ö
泥土 Ü
泥土 Ё
泥土 Б
泥土 Г
泥土 Д
泥土 Ж
泥土 З
泥土 И
泥土 Й
泥土 Л
泥土 П
泥土 У
泥土 Ф
泥土 Ц
泥土 Ч
泥土 Ш
泥土 Щ
泥土 Ъ
泥土 Ы
泥土 Ь
泥土 Э
泥土 Ю
泥土 Я
圓點（超小｝
圓點（大｝
圓點（中｝
圓點（小｝
地球 符文
電力 能源
史詩幸運方塊
！
仙女 能源
火 能源
火 符文
向前
GUI 0
GUI 1
GUI 2
GUI 3
GUI 4
GUI 5
GUI 6
GUI 7
GUI 8
GUI 9
GUI A
GUI B
GUI 黑 (綠 01)
GUI 黑 (綠 02)
GUI 黑 (綠 03)
GUI 黑 (綠 04)
GUI 黑 (綠 05)
GUI 黑 (綠 06)
GUI 黑 (綠 07)
GUI 黑 (綠 08)
GUI 黑 (綠 09)
GUI 黑 (綠 10)
GUI 黑 (綠 11)
GUI 黑 (綠 12)
GUI 黑 (綠 13)
GUI 黑 (綠 14)
GUI 黑 (綠 15)
GUI 黑 (綠 16)
GUI 黑 (綠 17)
GUI 黑 (綠 18)
GUI 黑 (綠 19)
GUI 黑 (綠 20)
GUI 黑 (綠 21)
GUI 黑 (綠 22)
GUI 黑 (綠 23)
GUI 黑 (綠 24)
GUI 黑 (綠 25)
GUI 黑 (綠 26)
GUI 黑 (綠 27)
GUI 黑 (綠 28)
GUI 黑 (綠 29)
GUI 黑 (綠 30)
GUI 黑 (綠 31)
GUI 黑 (紅 01)
GUI 黑 (紅 02)
GUI 黑 (紅 03)
GUI 黑 (紅 04)
GUI 黑 (紅 05)
GUI 黑 (紅 06)
GUI 黑 (紅 07)
GUI 黑 (紅 08)
GUI 黑 (紅 09)
GUI 黑 (紅 10)
GUI 黑 (紅 11)
GUI 黑 (紅 12)
GUI 黑 (紅 13)
GUI 黑 (紅 14)
GUI 黑 (紅 15)
GUI 黑 (紅 16)
GUI 黑 (紅 17)
GUI 黑 (紅 18)
GUI 黑 (紅 19)
GUI 黑 (紅 20)
GUI 黑 (紅 21)
GUI 黑 (紅 22)
GUI 黑 (紅 23)
GUI 黑 (紅 24)
GUI 黑 (紅 25)
GUI 黑 (紅 26)
GUI 黑 (紅 27)
GUI 黑 (紅 28)
GUI 黑 (紅 29)
GUI 黑 (紅 30)
GUI 黑 (紅 31)
GUI 黑 (白 01)
GUI 黑 (白 02)
GUI 黑 (白 03)
GUI 黑 (白 04)
GUI 黑 (白 05)
GUI 黑 (白 06)
GUI 黑 (白 07)
GUI 黑 (白 08)
GUI 黑 (白 09)
GUI 黑 (白 10)
GUI 黑 (白 11)
GUI 黑 (白 12)
GUI 黑 (白 13)
GUI 黑 (白 14)
GUI 黑 (白 15)
GUI 黑 (白 16)
GUI 黑 (白 17)
GUI 黑 (白 18)
GUI 黑 (白 19)
GUI 黑 (白 20)
GUI 黑 (白 21)
GUI 黑 (白 22)
GUI 黑 (白 23)
GUI 黑 (白 24)
GUI 黑 (白 25)
GUI 黑 (白 26)
GUI 黑 (白 27)
GUI 黑 (白 28)
GUI 黑 (白 29)
GUI 黑 (白 30)
GUI C
GUI D
GUI E
GUI F
GUI G
GUI 綠 (黑 01)
GUI 綠 (黑 02)
GUI 綠 (黑 03)
GUI 綠 (黑 04)
GUI 綠 (黑 05)
GUI 綠 (黑 06)
GUI 綠 (黑 07)
GUI 綠 (黑 08)
GUI 綠 (黑 09)
GUI 綠 (黑 10)
GUI 綠 (黑 11)
GUI 綠 (黑 12)
GUI 綠 (黑 13)
GUI 綠 (黑 14)
GUI 綠 (黑 15)
GUI 綠 (黑 16)
GUI 綠 (黑 17)
GUI 綠 (黑 18)
GUI 綠 (黑 19)
GUI 綠 (黑 20)
GUI 綠 (黑 21)
GUI 綠 (黑 22)
GUI 綠 (黑 23)
GUI 綠 (黑 24)
GUI 綠 (黑 25)
GUI 綠 (黑 26)
GUI 綠 (黑 27)
GUI 綠 (黑 28)
GUI 綠 (黑 29)
GUI 綠 (黑 30)
GUI 綠 (黑 31)
GUI H
GUI I
GUI J
GUI K
GUI L
GUI M
GUI N
GUI O
GUI P
GUI Q
GUI R
GUI 紅 (黑 01)
GUI 紅 (黑 02)
GUI 紅 (黑 03)
GUI 紅 (黑 04)
GUI 紅 (黑 05)
GUI 紅 (黑 06)
GUI 紅 (黑 07)
GUI 紅 (黑 08)
